,Id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag
145758,145759,9961107,33,15,single,rented,yes,Surveyor,Karimnagar,Telangana,11,14,0
133647,133648,4098399,79,15,single,rented,no,Computer_hardware_engineer,Aurangabad,Maharashtra,10,12,0
70149,70150,990478,26,15,single,norent_noown,no,Geologist,Ahmednagar,Maharashtra,5,13,0
193036,193037,9571049,43,8,single,rented,yes,Librarian,Bally,West_Bengal,8,11,0
45984,45985,7790773,40,10,married,rented,yes,Software_Developer,Bahraich,Uttar_Pradesh,9,12,1
158584,158585,1798025,45,18,single,rented,no,Statistician,Malegaon,Maharashtra,10,12,0
131404,131405,9002497,25,11,single,rented,no,Civil_servant,Vadodara,Gujarat,11,12,0
84031,84032,7741893,32,9,single,owned,yes,Computer_hardware_engineer,Jodhpur,Rajasthan,9,12,0
221969,221970,3877011,25,18,single,rented,no,Politician,Bilaspur,Chhattisgarh,14,10,0
27719,27720,143036,29,4,single,rented,no,Secretary,Lucknow,Uttar_Pradesh,4,14,0
245052,245053,5461160,38,5,single,rented,no,Surveyor,Cuttack,Odisha,5,12,0
196454,196455,6913078,38,14,married,rented,no,Aviator,Sirsa,Haryana,3,14,0
79593,79594,5353470,75,13,single,rented,yes,Surveyor,Mumbai,Maharashtra,5,12,0
241628,241629,4932812,72,8,single,rented,no,Comedian,Ludhiana,Punjab,4,12,0
148174,148175,681686,71,18,single,rented,no,Artist,Mangalore,Karnataka,13,10,1
166168,166169,3864368,58,13,single,rented,yes,Web_designer,Mumbai,Maharashtra,8,13,0
172748,172749,9760667,63,17,single,rented,no,Chartered_Accountant,Khandwa,Madhya_Pradesh,13,12,1
73259,73260,8229070,38,7,single,rented,yes,Graphic_Designer,Kolhapur,Maharashtra,7,10,0
133049,133050,5003285,54,9,single,owned,no,Web_designer,Morena,Madhya_Pradesh,9,11,0
94409,94410,9017508,40,17,married,rented,yes,Petroleum_Engineer,Amravati,Maharashtra,6,13,0
174999,175000,9846056,28,12,single,rented,no,Analyst,Noida,Uttar_Pradesh,12,13,0
142759,142760,1165856,47,19,married,rented,yes,Statistician,Kulti,West_Bengal,7,10,0
32017,32018,2534496,73,8,single,rented,no,Psychologist,Ujjain,Madhya_Pradesh,4,14,0
135090,135091,1855377,26,3,single,rented,no,Magistrate,Shimla,Himachal_Pradesh,3,13,0
77346,77347,8653449,66,0,single,rented,no,Chemical_engineer,Thrissur,Kerala,0,13,1
129811,129812,7552268,38,6,single,rented,no,Civil_engineer,Berhampore,West_Bengal,5,10,0
243295,243296,7245487,62,12,single,rented,no,Economist,Chennai,Tamil_Nadu,11,10,0
126527,126528,1601803,40,1,single,rented,no,Civil_engineer,Bettiah[33],Bihar,1,10,0
44418,44419,2607516,76,5,single,rented,yes,Analyst,Nanded,Maharashtra,5,11,0
243490,243491,538159,46,15,married,rented,no,Drafter,Malegaon,Maharashtra,11,11,0
7191,7192,4521844,64,2,single,rented,no,Engineer,Ramgarh,Jharkhand,2,12,0
227644,227645,3998571,61,13,single,rented,no,Financial_Analyst,South_Dumdum,West_Bengal,13,11,0
196266,196267,2279438,65,3,single,rented,no,Secretary,Gurgaon,Haryana,3,10,0
183904,183905,780090,55,9,single,norent_noown,no,Surveyor,Gorakhpur,Uttar_Pradesh,9,14,0
136892,136893,2475883,64,2,single,rented,no,Magistrate,Bally,West_Bengal,2,10,0
163645,163646,1556371,39,11,single,rented,no,Psychologist,Panchkula,Haryana,8,13,0
